Freq, Harmonic, V1, VAngle1, I1, IAngle1
60, 1.00000, 297.131, -122.397, 1040.98, -19.3516
120, 2.00000, 1.13513E-013, -114.884, 6.89253E-013, -30.1932
180, 3.00000, 1.23503, -54.0766, 1.96558, -132.212
240, 4.00000, 3.41341E-014, -72.8689, 1.88261E-013, -170.072
300, 5.00000, 19.8718, 28.0332, 85.4883, -110.177
360, 6.00000, 1.66207E-013, 142.533, 9.73044E-014, 140.932
420, 7.00000, 30.0907, 8.23685, 30.6881, -100.256
480, 8.00000, 5.8609E-014, 152.45, 3.1829E-013, -0.7178
540, 9.00000, 0.526402, 90.6015, 1.92841, -169.105
600, 10.00000, 7.56783E-014, 104.228, 1.27301E-013, -36.673
660, 11.00000, 9.32699, 110.324, 25.9714, 33.7224
720, 12.00000, 9.55354E-014, -62.8957, 1.32829E-013, 91.0508
780, 13.00000, 3.68906, -137.158, 18.3014, -117.661
