Freq, Harmonic, V1, VAngle1, I1, IAngle1
60, 1.00000, 289.618, 117.059, 1041.81, -139.085
120, 2.00000, 1.44511E-013, -127.184, 5.02102E-013, -74.05
180, 3.00000, 1.81295, -61.3226, 1.04358, -79.8375
240, 4.00000, 1.45598E-013, 28.2654, 2.60266E-013, -23.5566
300, 5.00000, 23.7291, 101.08, 82.1553, 125.378
360, 6.00000, 1.25652E-013, -50.7644, 1.32425E-013, -33.304
420, 7.00000, 19.4057, -143.235, 31.0168, 8.4645
480, 8.00000, 3.36015E-014, 139.376, 2.64891E-013, -55.296
540, 9.00000, 0.656126, 57.6267, 3.23056, 7.7595
600, 10.00000, 7.60651E-014, 109.781, 3.5307E-014, 5.315
660, 11.00000, 7.25722, -141.915, 25.4369, -85.263
720, 12.00000, 4.19086E-014, -174.749, 1.93642E-013, -90.367
780, 13.00000, 6.47435, -71.3251, 18.5338, -0.7871
