Freq, Harmonic, V1, VAngle1, I1, IAngle1
60, 1.00000, 272.262, 117.268, 0, 0
120, 2.00000, 0, 0, 0, 0
180, 3.00000, 1.77232, -58.3739, 0, 0
240, 4.00000, 0, 0, 0, 0
300, 5.00000, 25.7195, 110.463, 0, 0
360, 6.00000, 0, 0, 0, 0
420, 7.00000, 15.3074, -152.437, 0, 0
480, 8.00000, 0, 0, 0, 0
540, 9.00000, 0.646168, 72.3928, 0, 0
600, 10.00000, 0, 0, 0, 0
660, 11.00000, 7.34075, -141.227, 0, 0
720, 12.00000, 0, 0, 0, 0
780, 13.00000, 4.39522, 33.2326, 0, 0
840, 14.00000, 0, 0, 0, 0
900, 15.00000, 0, 0, 0, 0
