Freq, Harmonic, V1, VAngle1, I1, IAngle1
60, 1.00000, 280.152, -121.776, 0, 0
120, 2.00000, 3.78952E-014, -125.733, 0, 0
180, 3.00000, 1.45669, -50.5901, 0, 0
240, 4.00000, 1.08073E-014, 95.822, 0, 0
300, 5.00000, 25.2473, 4.08745, 0, 0
360, 6.00000, 8.59912E-015, -9.48883, 0, 0
420, 7.00000, 33.7971, 3.40869, 0, 0
480, 8.00000, 1.04292E-014, -72.0922, 0, 0
540, 9.00000, 0.442808, 67.8143, 0, 0
600, 10.00000, 2.07521E-014, 157.294, 0, 0
660, 11.00000, 10.4458, 104.876, 0, 0
720, 12.00000, 2.22059E-014, 141.221, 0, 0
780, 13.00000, 7.39121, 102.874, 0, 0
840, 14.00000, 1.83362E-014, 26.349, 0, 0
900, 15.00000, 0.0356972, -118.301, 0, 0
960, 16.00000, 2.18442E-014, 73.3042, 0, 0
1020, 17.00000, 5.28172, 21.5931, 0, 0
