Freq, Harmonic, V1, VAngle1, I1, IAngle1
60, 1.00000, 2389.87, 117.195, 35.8105, -115.568
120, 2.00000, 4.96153E-015, -11.7936, 8.60025E-015, 110.934
180, 3.00000, 16.4306, -58.2152, 0.315007, -121.664
240, 4.00000, 2.75775E-014, 159.341, 5.84499E-015, -47.922
300, 5.00000, 231.552, 111.1, 7.61474, 123.931
360, 6.00000, 5.80463E-016, 160.968, 5.22045E-016, -36.018
420, 7.00000, 179.056, -164.477, 3.62904, 8.062
480, 8.00000, 1.22815E-014, 130.292, 7.67347E-015, -120.9
540, 9.00000, 1.167, -20.5632, 0.295788, 54.632
600, 10.00000, 8.72336E-016, 95.7313, 2.15386E-015, 71.376
660, 11.00000, 38.3153, -172.85, 2.19529, 124.584
720, 12.00000, 1.82404E-015, -40.3185, 2.57653E-015, 58.634
780, 13.00000, 16.7129, -78.2735, 1.50372, 53.936
840, 14.00000, 1.98476E-014, -154.497, 7.30964E-015, -43.253
900, 15.00000, 0.194634, -48.813, 0.154694, 42.784
