Freq, Harmonic, V1, VAngle1, I1, IAngle1
60, 1.00000, 290.445, -3.54516, 1045.6, 100.742
120, 2.00000, 9.72913E-014, -135.507, 2.46081E-013, -3.3062
180, 3.00000, 1.70993, -53.9141, 2.73905, 65.4372
240, 4.00000, 1.15937E-013, 119.125, 3.08869E-013, 73.1696
300, 5.00000, 31.3848, -92.512, 91.083, 5.642
360, 6.00000, 6.92445E-014, -14.0585, 3.60699E-014, 156.946
420, 7.00000, 19.6381, 141.016, 24.5328, 133.127
480, 8.00000, 3.35034E-014, -179.649, 5.59373E-014, 44.2892
540, 9.00000, 1.20548, 72.4845, 1.32425, 178.126
600, 10.00000, 5.68987E-014, 117.05, 9.50887E-014, -88.196
660, 11.00000, 12.5146, -13.8172, 26.4505, 152.796
720, 12.00000, 9.45038E-014, 97.4089, 6.21785E-014, 77.6388
780, 13.00000, 13.6974, -77.7166, 16.5528, 119.541
