Freq, Harmonic, V1, VAngle1, I1, IAngle1
60, 1.00000, 279.462, -122.273, 0, 0
120, 2.00000, 0, 0, 0, 0
180, 3.00000, 1.51354, -53.2852, 0, 0
240, 4.00000, 0, 0, 0, 0
300, 5.00000, 23.1356, 5.74273, 0, 0
360, 6.00000, 0, 0, 0, 0
420, 7.00000, 33.6065, 3.12952, 0, 0
480, 8.00000, 0, 0, 0, 0
540, 9.00000, 0.424238, 62.784, 0, 0
600, 10.00000, 0, 0, 0, 0
660, 11.00000, 9.8196, 100.504, 0, 0
720, 12.00000, 0, 0, 0, 0
780, 13.00000, 4.75868, 146.286, 0, 0
840, 14.00000, 0, 0, 0, 0
900, 15.00000, 0, 0, 0, 0
