Freq, Harmonic, V1, VAngle1, I1, IAngle1
60, 1.00000, 273.567, -3.2803, 0, 0
120, 2.00000, 0, 0, 0, 0
180, 3.00000, 1.67486, -55.3589, 0, 0
240, 4.00000, 0, 0, 0, 0
300, 5.00000, 25.7138, -88.0011, 0, 0
360, 6.00000, 0, 0, 0, 0
420, 7.00000, 20.6713, 150.256, 0, 0
480, 8.00000, 0, 0, 0, 0
540, 9.00000, 1.41897, 81.1482, 0, 0
600, 10.00000, 0, 0, 0, 0
660, 11.00000, 12.8272, -10.7784, 0, 0
720, 12.00000, 0, 0, 0, 0
780, 13.00000, 7.80674, -85.3754, 0, 0
840, 14.00000, 0, 0, 0, 0
900, 15.00000, 0, 0, 0, 0
