Freq, Harmonic, V1, VAngle1, I1, IAngle1
60, 1.00000, 274.712, -2.81652, 0, 0
120, 2.00000, 3.9357E-014, -120.987, 0, 0
180, 3.00000, 1.61365, -57.5589, 0, 0
240, 4.00000, 1.86656E-014, 47.1379, 0, 0
300, 5.00000, 24.9223, -83.7349, 0, 0
360, 6.00000, 7.40782E-015, -160.097, 0, 0
420, 7.00000, 21.2878, 147.09, 0, 0
480, 8.00000, 1.45681E-014, -46.871, 0, 0
540, 9.00000, 1.42319, 84.0263, 0, 0
600, 10.00000, 7.50802E-015, 69.5163, 0, 0
660, 11.00000, 11.8646, -6.249, 0, 0
720, 12.00000, 1.46738E-014, 130.106, 0, 0
780, 13.00000, 8.04397, -113.976, 0, 0
840, 14.00000, 2.27221E-014, -7.09392, 0, 0
900, 15.00000, 0.00821244, -114.535, 0, 0
960, 16.00000, 2.93683E-014, -45.6563, 0, 0
1020, 17.00000, 5.31815, 14.8467, 0, 0
