Freq, Harmonic, V1, VAngle1, I1, IAngle1
60, 1.00000, 273.43, 117.811, 0, 0
120, 2.00000, 2.85235E-014, -121.36, 0, 0
180, 3.00000, 1.83699, -56.4071, 0, 0
240, 4.00000, 1.10832E-014, 28.7173, 0, 0
300, 5.00000, 25.7201, 114.924, 0, 0
360, 6.00000, 8.66112E-015, 97.1471, 0, 0
420, 7.00000, 12.9517, -151.124, 0, 0
480, 8.00000, 4.51073E-015, 64.4644, 0, 0
540, 9.00000, 0.618676, 80.7718, 0, 0
600, 10.00000, 1.46475E-014, 157.188, 0, 0
660, 11.00000, 7.29523, -131.024, 0, 0
720, 12.00000, 2.6527E-014, -71.6448, 0, 0
780, 13.00000, 8.95452, 82.766, 0, 0
840, 14.00000, 4.77161E-015, 60.9015, 0, 0
900, 15.00000, 0.0322288, -12.5682, 0, 0
960, 16.00000, 2.48136E-014, -10.9834, 0, 0
1020, 17.00000, 4.38351, 177.428, 0, 0
